lemma,POS,freq
womit,PWAV,301927
Rasse,NN,301515
Brust,NN,301273
Blume,NN,300359
Fach,NN,300010
Wandel,NN,299459
Talent,NN,299115
Schicht,NN,298620
Tanz,NN,298485
Wiese,NN,297456
Cent,NN,295388
Katalog,NN,295360
fit,ADJD,293931
Strafe,NN,293743
Transport,NN,292697
plus,ADV,292366
plus,KON,103142
sichern,VVINF,292310
Daumen,NN,292299
fühlen,VVINF,291949
Schild,NN,291127
Konzern,NN,290619
Architekt,NN,290113
reich,ADJA,290091
reich,ADJD,243175
leise,ADJD,290029
leise,ADJA,165689
diskutieren,VVINF,289741
Probe,NN,289648
trocken,ADJA,289350
trocken,ADJD,286414
Tee,NN,289227
dienen,VVINF,289092
Menü,NN,288916
Reifen,NN,288522
All,NN,288372
sollen,VMINF,288198
Block,NN,287891
Bischof,NN,287372
Tempo,NN,287324
Diagnose,NN,287040
Golf,NN,286828
Große,NN,284492
Mond,NN,283861
melden,VVINF,283460
Es,NN,283205
Teufel,NN,282948
Lohn,NN,282667
Set,NN,282327
Witz,NN,281988
Lob,NN,281820
Single,NN,281694
Summe,NN,281070
löschen,VVINF,280587
Tür,NN,279483
Rente,NN,279313
Virus,NN,279266
Tote,NN,278643
Aktie,NN,278472
rasch,ADJD,278246
rasch,ADJA,111261
Zins,NN,277568
Mama,NN,277110
sammeln,VVINF,276970
Reform,NN,276707
Stuhl,NN,276213
kosten,VVINF,275940
Substanz,NN,275722
wirken,VVINF,274733
Ticket,NN,274487
sitzen,VVINF,274107
stabil,ADJA,272968
stabil,ADJD,234002
These,NN,272884
installieren,VVINF,270989
Quote,NN,270456
hoffen,VVINF,270179
Status,NN,270015
Formel,NN,269991
Logo,NN,269942
Kuh,NN,269092
süß,ADJA,268421
süß,ADJD,225467
Metall,NN,268159
passen,VVINF,267501
kümmern,VVINF,267010
Islam,NN,266992
Chor,NN,265469
weich,ADJA,265385
weich,ADJD,198316
weh,ADJD,265039
scharf,ADJA,264863
scharf,ADJD,248050
Engel,NN,264706
Blüte,NN,263758
Sorte,NN,262899
Kiste,NN,259102
Organ,NN,258684
präsentieren,VVINF,258591
schlafen,VVINF,258361
Pass,NN,258271
Gitarre,NN,258032
trinken,VVINF,257729
feiern,VVINF,256981
dauern,VVINF,256259
Schatz,NN,256255
Senat,NN,255283
Board,NN,254204
exakt,ADJD,253981
exakt,ADJA,116280
Mord,NN,253646
Leid,NN,253097
Tausend,NN,252572
Küste,NN,252499
Norm,NN,252270
prima,ADJA,252106
drin,PTKVZ,252076
drin,ADV,10725
sterben,VVINF,252071
gratis,ADJD,252016
Humor,NN,251941
spontan,ADJD,250673
spontan,ADJA,105281
Schlaf,NN,250047
Fokus,NN,249669
Leib,NN,249592
grau,ADJA,249016
grau,ADJD,123658
Impuls,NN,247604
Wolke,NN,247398
Droge,NN,246228
Böse,NN,246154
dünn,ADJA,245795
dünn,ADJD,181361
Kleid,NN,245299
Zoll,NN,244630
Lampe,NN,244094
Katastrophe,NN,243919
fliegen,VVINF,243707
still,ADJD,242871
still,ADJA,186958
Kette,NN,242121
Route,NN,241785
Front,NN,241688
Feature,NN,241417
Windows,NN,241049
Jesu,NN,240496
Flucht,NN,240318
schlagen,VVINF,240120
Laune,NN,239983
Ehre,NN,239532
stärken,VVINF,239189
ehe,KOUS,239158
Breite,NN,239078
Hut,NN,238761
Kurve,NN,238483
West,NN,236592
Nazi,NN,235398
Lippe,NN,234690
hübsch,ADJA,234435
hübsch,ADJD,147564
Premiere,NN,233520
reagieren,VVINF,233263
Favorit,NN,233234
Kohle,NN,232655
Support,NN,232562
glatt,ADJD,232213
glatt,ADJA,139657
werfen,VVINF,232083
Fett,NN,231339
Duft,NN,231196
fair,ADJA,231055
fair,ADJD,212621
Demo,NN,231036
Lizenz,NN,230946
Grab,NN,230820
Treppe,NN,230743
öfters,ADV,230468
streng,ADJA,230000
streng,ADJD,212102
Kerl,NN,230000
grob,ADJA,229819
grob,ADJD,193100
Balkon,NN,229551
Muss,NN,229363
samt,APPR,229189
Kanton,NN,228557
Schwert,NN,228486
Provinz,NN,228053
Kumpel,NN,227079
Sturm,NN,227041
Kugel,NN,226926
spüren,VVINF,225813
Tempel,NN,225651
Air,NN,225277
Nord,NN,224813
Bit,NN,224779
Live,NN,224420
