sfx,iter,period,factor,sample_size,n_types,entropy
er,76,1482-1549,0.125,8,5,2.1556390622295667
er,76,1482-1549,0.0625,4,4,2.0
er,77,1482-1549,1.0,57,33,4.612477333299178
er,77,1482-1549,0.5,29,21,4.181786496009059
er,77,1482-1549,0.25,15,15,3.9068905956085187
er,77,1482-1549,0.125,8,6,2.4056390622295667
er,77,1482-1549,0.0625,4,4,2.0
er,78,1482-1549,1.0,57,33,4.612477333299178
er,78,1482-1549,0.5,29,21,4.042412565665391
er,78,1482-1549,0.25,15,10,3.056564762130954
er,78,1482-1549,0.125,8,6,2.5
er,78,1482-1549,0.0625,4,4,2.0
er,79,1482-1549,1.0,57,33,4.612477333299178
er,79,1482-1549,0.5,29,18,3.8094854104183753
er,79,1482-1549,0.25,15,11,3.240223928941852
er,79,1482-1549,0.125,8,8,3.0
er,79,1482-1549,0.0625,4,4,2.0
er,80,1482-1549,1.0,57,33,4.612477333299178
er,80,1482-1549,0.5,29,23,4.349191770915037
er,80,1482-1549,0.25,15,12,3.456564762130954
er,80,1482-1549,0.125,8,5,2.0
er,80,1482-1549,0.0625,4,4,2.0
er,81,1482-1549,1.0,57,33,4.612477333299178
er,81,1482-1549,0.5,29,22,4.250752013250438
er,81,1482-1549,0.25,15,13,3.5898980954642874
er,81,1482-1549,0.125,8,8,3.0
er,81,1482-1549,0.0625,4,3,1.5
er,82,1482-1549,1.0,57,33,4.612477333299178
er,82,1482-1549,0.5,29,21,4.181786496009059
er,82,1482-1549,0.25,15,12,3.3735572622751855
er,82,1482-1549,0.125,8,8,3.0
er,82,1482-1549,0.0625,4,4,2.0
er,83,1482-1549,1.0,57,33,4.612477333299178
er,83,1482-1549,0.5,29,20,3.9734470484240116
er,83,1482-1549,0.25,15,12,3.456564762130954
er,83,1482-1549,0.125,8,8,3.0
er,83,1482-1549,0.0625,4,4,2.0
er,84,1482-1549,1.0,57,33,4.612477333299178
er,84,1482-1549,0.5,29,21,4.090234012145142
er,84,1482-1549,0.25,15,12,3.3735572622751855
er,84,1482-1549,0.125,8,6,2.4056390622295667
er,84,1482-1549,0.0625,4,4,2.0
er,85,1482-1549,1.0,57,33,4.612477333299178
er,85,1482-1549,0.5,29,22,4.11137808290677
er,85,1482-1549,0.25,15,13,3.640223928941852
er,85,1482-1549,0.125,8,6,2.5
er,85,1482-1549,0.0625,4,4,2.0
er,86,1482-1549,1.0,57,33,4.612477333299178
er,86,1482-1549,0.5,29,24,4.487122805397798
er,86,1482-1549,0.25,15,12,3.456564762130954
er,86,1482-1549,0.125,8,8,3.0
er,86,1482-1549,0.0625,4,4,2.0
er,87,1482-1549,1.0,57,33,4.612477333299178
er,87,1482-1549,0.5,29,20,4.11282097876768
er,87,1482-1549,0.25,15,11,3.323231428797621
er,87,1482-1549,0.125,8,6,2.4056390622295667
er,87,1482-1549,0.0625,4,4,2.0
er,88,1482-1549,1.0,57,33,4.612477333299178
er,88,1482-1549,0.5,29,23,4.319717530491817
er,88,1482-1549,0.25,15,12,3.506890595608519
er,88,1482-1549,0.125,8,8,3.0
er,88,1482-1549,0.0625,4,4,2.0
er,89,1482-1549,1.0,57,33,4.612477333299178
er,89,1482-1549,0.5,29,23,4.375222374437915
er,89,1482-1549,0.25,15,13,3.640223928941852
er,89,1482-1549,0.125,8,8,3.0
er,89,1482-1549,0.0625,4,3,1.5
er,90,1482-1549,1.0,57,33,4.612477333299178
er,90,1482-1549,0.5,29,22,4.280226253673658
er,90,1482-1549,0.25,15,13,3.640223928941852
er,90,1482-1549,0.125,8,8,3.0
er,90,1482-1549,0.0625,4,4,2.0
er,91,1482-1549,1.0,57,33,4.612477333299178
er,91,1482-1549,0.5,29,16,3.503352977363976
