sfx,iter,factor,sample_size,n_types,entropy
-nis,88,0.0625,1195,47,4.256041076130908
-nis,89,1.0,19119,53,4.194607943393172
-nis,89,0.5,9560,53,4.174666984979106
-nis,89,0.25,4780,49,4.24009851939969
-nis,89,0.125,2390,47,4.212364568876929
-nis,89,0.0625,1195,42,4.168630547175078
-nis,90,1.0,19119,53,4.20036874919827
-nis,90,0.5,9560,49,4.189927805741398
-nis,90,0.25,4780,50,4.163675220056652
-nis,90,0.125,2390,48,4.185792152465057
-nis,90,0.0625,1195,42,4.123651539924477
-nis,91,1.0,19119,52,4.186639640539874
-nis,91,0.5,9560,51,4.221855648471285
-nis,91,0.25,4780,50,4.1923943809135364
-nis,91,0.125,2390,48,4.13670076816584
-nis,91,0.0625,1195,47,4.186743595266362
-nis,92,1.0,19119,52,4.2175552689383125
-nis,92,0.5,9560,51,4.222654599655204
-nis,92,0.25,4780,50,4.181803864534747
-nis,92,0.125,2390,48,4.140685125712432
-nis,92,0.0625,1195,44,4.164306730670113
-nis,93,1.0,19119,52,4.206005961443276
-nis,93,0.5,9560,52,4.205089632212964
-nis,93,0.25,4780,48,4.175343084566141
-nis,93,0.125,2390,48,4.147358662940244
-nis,93,0.0625,1195,42,4.130546130832329
-nis,94,1.0,19119,52,4.167509029992731
-nis,94,0.5,9560,52,4.179555632500861
-nis,94,0.25,4780,49,4.178056680836304
-nis,94,0.125,2390,46,4.16393748363849
-nis,94,0.0625,1195,44,4.213617906607926
-nis,95,1.0,19119,52,4.21847835211694
-nis,95,0.5,9560,50,4.196323602165625
-nis,95,0.25,4780,51,4.20945874175726
-nis,95,0.125,2390,47,4.166777711012857
-nis,95,0.0625,1195,44,4.13929921649606
-nis,96,1.0,19119,53,4.21219020389954
-nis,96,0.5,9560,50,4.184168840439546
-nis,96,0.25,4780,48,4.178432558244373
-nis,96,0.125,2390,46,4.1941362554378125
-nis,96,0.0625,1195,45,4.142202339044554
-nis,97,1.0,19119,51,4.202375014997063
-nis,97,0.5,9560,51,4.2169521749448915
-nis,97,0.25,4780,50,4.190578462338124
-nis,97,0.125,2390,47,4.14884645621474
-nis,97,0.0625,1195,44,4.214529864798167
-nis,98,1.0,19119,53,4.220668661855706
-nis,98,0.5,9560,51,4.213509268422505
-nis,98,0.25,4780,50,4.211215384714195
-nis,98,0.125,2390,47,4.139842139319552
-nis,98,0.0625,1195,47,4.290996488015966
-nis,99,1.0,19119,53,4.186361771638628
-nis,99,0.5,9560,51,4.21637169598757
-nis,99,0.25,4780,50,4.172345926164379
-nis,99,0.125,2390,46,4.1501972706850045
-nis,99,0.0625,1195,41,4.209520678100462
-nis,100,1.0,19119,53,4.214320475612374
-nis,100,0.5,9560,52,4.179815150415006
-nis,100,0.25,4780,48,4.165505679279542
-nis,100,0.125,2390,47,4.163807465118413
-nis,100,0.0625,1195,46,4.204111038089076
-schaft,1,1.0,19197,134,4.490705405555107
-schaft,1,0.5,9599,124,4.488769984418259
-schaft,1,0.25,4800,107,4.431659210664813
-schaft,1,0.125,2400,83,4.487752202822005
-schaft,1,0.0625,1200,75,4.481574740319073
-schaft,2,1.0,19197,139,4.513590921331201
-schaft,2,0.5,9599,125,4.499693041245118
-schaft,2,0.25,4800,103,4.467030446238021
-schaft,2,0.125,2400,91,4.445555188124176
-schaft,2,0.0625,1200,74,4.4743644203185395
-schaft,3,1.0,19197,133,4.514101337987378
-schaft,3,0.5,9599,125,4.494435129241006
-schaft,3,0.25,4800,109,4.472937972800106
-schaft,3,0.125,2400,84,4.447520553607134
-schaft,3,0.0625,1200,70,4.373785775244499
-schaft,4,1.0,19197,139,4.536358170685692
-schaft,4,0.5,9599,124,4.50488920497841
-schaft,4,0.25,4800,106,4.568414790523473
-schaft,4,0.125,2400,92,4.423940590751324
-schaft,4,0.0625,1200,71,4.372701000173859
-schaft,5,1.0,19197,133,4.525948272096006
-schaft,5,0.5,9599,125,4.484556151878392
-schaft,5,0.25,4800,107,4.4903060368319565
-schaft,5,0.125,2400,84,4.49871306540472
-schaft,5,0.0625,1200,81,4.57457752323103
-schaft,6,1.0,19197,142,4.510940184176559
-schaft,6,0.5,9599,120,4.489677102268098
-schaft,6,0.25,4800,102,4.45109422390636
-schaft,6,0.125,2400,89,4.459638959135652
-schaft,6,0.0625,1200,73,4.404497974155671
-schaft,7,1.0,19197,134,4.493094112956884
-schaft,7,0.5,9599,124,4.502482558669381
-schaft,7,0.25,4800,106,4.470243168662223
-schaft,7,0.125,2400,97,4.524824410664744
-schaft,7,0.0625,1200,71,4.383989712444322
-schaft,8,1.0,19197,138,4.512309778796849
-schaft,8,0.5,9599,119,4.506142612655711
-schaft,8,0.25,4800,104,4.502098075702784
-schaft,8,0.125,2400,80,4.438900749673595
-schaft,8,0.0625,1200,72,4.446366511606209
-schaft,9,1.0,19197,139,4.513062806420802
-schaft,9,0.5,9599,126,4.521619527872836
-schaft,9,0.25,4800,108,4.47659337499843
-schaft,9,0.125,2400,91,4.443345025988898
-schaft,9,0.0625,1200,69,4.451827765095656
-schaft,10,1.0,19197,136,4.499395603233158
-schaft,10,0.5,9599,128,4.509428687526313
-schaft,10,0.25,4800,113,4.4949855476932346
-schaft,10,0.125,2400,96,4.510363788982641
-schaft,10,0.0625,1200,75,4.39162732683611
-schaft,11,1.0,19197,141,4.4972653214340275
-schaft,11,0.5,9599,122,4.473391868604358
-schaft,11,0.25,4800,109,4.498062450749344
-schaft,11,0.125,2400,94,4.536592566047029
-schaft,11,0.0625,1200,69,4.3880677891189945
-schaft,12,1.0,19197,136,4.5263870695524275
-schaft,12,0.5,9599,121,4.50297742656551
-schaft,12,0.25,4800,109,4.517096196296691
-schaft,12,0.125,2400,89,4.469566374988752
-schaft,12,0.0625,1200,75,4.517898743644987
-schaft,13,1.0,19197,140,4.485131553862478
-schaft,13,0.5,9599,132,4.530599379069401
-schaft,13,0.25,4800,101,4.531458733093276
-schaft,13,0.125,2400,93,4.47951917251796
-schaft,13,0.0625,1200,76,4.414763504909306
-schaft,14,1.0,19197,139,4.511415998134557
-schaft,14,0.5,9599,121,4.501500278969534
-schaft,14,0.25,4800,103,4.469372854372968
-schaft,14,0.125,2400,87,4.422271963576847
-schaft,14,0.0625,1200,67,4.436980395579512
-schaft,15,1.0,19197,141,4.519821881205705
-schaft,15,0.5,9599,121,4.499431150352548
-schaft,15,0.25,4800,108,4.505358304809894
-schaft,15,0.125,2400,89,4.467588544052534
-schaft,15,0.0625,1200,75,4.451746321402745
-schaft,16,1.0,19197,138,4.526047892653297
-schaft,16,0.5,9599,127,4.495051699899508
-schaft,16,0.25,4800,109,4.503631037402638
-schaft,16,0.125,2400,84,4.461080949637994
-schaft,16,0.0625,1200,71,4.463729705742728
