sfx,iter,period,factor,sample_size,n_types,entropy
er,73,1482-1549,0.5,29,16,3.645523772412739
er,73,1482-1549,0.25,15,13,3.640223928941852
er,73,1482-1549,0.125,8,6,2.4056390622295667
er,73,1482-1549,0.0625,4,4,2.0
er,74,1482-1549,1.0,57,28,4.6041338735102215
er,74,1482-1549,0.5,29,20,4.11282097876768
er,74,1482-1549,0.25,15,10,2.872905595320056
er,74,1482-1549,0.125,8,7,2.75
er,74,1482-1549,0.0625,4,4,2.0
er,75,1482-1549,1.0,57,27,4.470631409046418
er,75,1482-1549,0.5,29,15,3.243890122466408
er,75,1482-1549,0.25,15,13,3.5898980954642874
er,75,1482-1549,0.125,8,6,2.5
er,75,1482-1549,0.0625,4,4,2.0
er,76,1482-1549,1.0,57,21,3.7965063502704726
er,76,1482-1549,0.5,29,15,3.521605564018486
er,76,1482-1549,0.25,15,10,3.139572261986723
er,76,1482-1549,0.125,8,7,2.75
er,76,1482-1549,0.0625,4,4,2.0
er,77,1482-1549,1.0,57,28,4.395812768581673
er,77,1482-1549,0.5,29,16,3.460418063645475
er,77,1482-1549,0.25,15,9,3.006238928653389
er,77,1482-1549,0.125,8,7,2.75
er,77,1482-1549,0.0625,4,4,2.0
er,78,1482-1549,1.0,57,23,4.051001743720939
er,78,1482-1549,0.5,29,16,3.7974676329840045
er,78,1482-1549,0.25,15,10,3.056564762130954
er,78,1482-1549,0.125,8,7,2.75
er,78,1482-1549,0.0625,4,4,2.0
er,79,1482-1549,1.0,57,24,4.132997856452793
er,79,1482-1549,0.5,29,16,3.741962789037907
er,79,1482-1549,0.25,15,10,3.139572261986723
er,79,1482-1549,0.125,8,6,2.4056390622295667
er,79,1482-1549,0.0625,4,4,2.0
er,80,1482-1549,1.0,57,22,4.064036545073915
er,80,1482-1549,0.5,29,16,3.671554375935617
er,80,1482-1549,0.25,15,11,3.240223928941852
er,80,1482-1549,0.125,8,8,3.0
er,80,1482-1549,0.0625,4,4,2.0
er,81,1482-1549,1.0,57,23,4.131245830661394
er,81,1482-1549,0.5,29,19,4.047299098426643
er,81,1482-1549,0.25,15,10,3.139572261986723
er,81,1482-1549,0.125,8,7,2.75
er,81,1482-1549,0.0625,4,4,2.0
er,82,1482-1549,1.0,57,28,4.388351480346543
er,82,1482-1549,0.5,29,15,3.702471512219745
er,82,1482-1549,0.25,15,13,3.5898980954642874
er,82,1482-1549,0.125,8,7,2.75
er,82,1482-1549,0.0625,4,4,2.0
er,83,1482-1549,1.0,57,23,4.319193962629763
er,83,1482-1549,0.5,29,18,4.047299098426643
er,83,1482-1549,0.25,15,11,3.323231428797621
er,83,1482-1549,0.125,8,8,3.0
er,83,1482-1549,0.0625,4,4,2.0
er,84,1482-1549,1.0,57,27,4.397307815641451
er,84,1482-1549,0.5,29,18,3.9523029776623853
er,84,1482-1549,0.25,15,11,3.323231428797621
er,84,1482-1549,0.125,8,7,2.75
er,84,1482-1549,0.0625,4,4,2.0
er,85,1482-1549,1.0,57,26,4.398250759589
er,85,1482-1549,0.5,29,18,4.004364184708141
er,85,1482-1549,0.25,15,10,2.9995812306460645
er,85,1482-1549,0.125,8,7,2.75
er,85,1482-1549,0.0625,4,4,2.0
er,86,1482-1549,1.0,57,26,4.352124610762846
er,86,1482-1549,0.5,29,17,3.6855672020241235
er,86,1482-1549,0.25,15,11,3.2729055953200565
er,86,1482-1549,0.125,8,8,3.0
er,86,1482-1549,0.0625,4,4,2.0
er,87,1482-1549,1.0,57,23,4.121911287229121
er,87,1482-1549,0.5,29,13,3.440070116549511
